*******************************************************************
* Option Basic
*******************************************************************

OptionBasic_MenuStr	基本オプション	Basic Option
OptionDns_soaRetry	再試行(秒)	Retry(sec)
OptionDns_soaExpire	終了時間(秒)	Expire(sec)
OptionDns_soaMinimum	最小時間(秒)	Minimum(sec)
OptionDns_GroupSoa	ゾーン管理情報(この設定はすべてのドメインのSOAレコードとして使用されます)	Group SOA

#Message

ServerDns_0002	ルートキャッシュの読み込みに失敗しました	Failed to load root cache
ServerDns_0003	ルートキャッシュ(ファイル)が見つかりません	Root cache(file) not found
ServerDns_0004	パケットの解釈に失敗しました。正常なDNSリクエストでない可能性があります。	Failed to analyze the packet. Probably this is not a normal DNS request.
ServerDns_0005	Lookup() パケット受信でタイムアウトが発生しました。	Time-out occurred during Lookup() packet receive 
ServerDns_0006	ルートキャッシュを読み込みました	Root cache was loaded

ServerDns_0019	リソースデータの読み込みに失敗しました	Failed to load resource data
ServerDns_0020	リソース(SOA)は追加されませんでした	Resource(SOA) was not added
ServerDns_0021	ドメインのリソース定義を読み込みました	Definition of domain resource was loaded


###############################################################
# Option DNS Domain
###############################################################

OptionDnsDomain_MenuStr	ドメインの追加と削除	Add or Remove Domains

OptionDnsDomain_Basic	ドメイン	Domain
           
OptionDnsDomain_name	ドメイン名	Domain name
OptionDnsDomain_authority	オーソリティ ( このチェックが無い場合、見つからないリソースを再帰検索します)	Authority (If un-checked, BJD will search unknown resource recrsively)


###############################################################
# Option DNS Resource
###############################################################

OptionResource_Basic	リソース設定	Resource settings


###############################################################
# Ftp Server
###############################################################

OptionFtp_MenuStr	FTPサーバ	FTP Server

OptionFtp_useServer	FTPサーバを使用する	Use FTP Server

#PageTitle

OptionFtp_Basic	基本設定	Basic
OptionFtp_VirtualFolder	仮想フォルダ	VirtualFolder
OptionFtp_User	利用者	User

#Page1(基本設定)
OptionFtp_bannerMessage	バナーメッセージ	Banner message
OptionFtp_useSyst	SYSTコマンドを有効にする ( セキュリティリスクの高いオプションです。必要のない限りチェックしないでください。)	Enable SYST command (High risk alert. Do not enable this unless you need to do it.)
OptionFtp_reservationTime	認証失敗時の保留時間(ミリ秒)	Reservation time in authentication failure (msec)

#Page2(仮想フォルダ)
OptionFtp_fromFolder	実フォルダ	Real Folder
OptionFtp_toFolder	マウント先	Mount Folder
OptionFtp_mountList	マウントの指定	Mount List

#Page3(利用者)
OptionFtp_accessControl	アクセス制限	Access Control
OptionFtp_homeDirectory	ホームディレクトリ	Home Directory
OptionFtp_userName	ユーザ名	User name
OptionFtp_password	パスワード	Password
OptionFtp_user	利用者（アクセス権）の指定	Set user permission

#Message

ServerFtp_0001	パラメータが長すぎます（不正なリクエストの可能性があるため切断しました)	A parameter is too long (Closing connection because this must be invalid request)
ServerFtp_0002	ホームディレクトリが存在しません（処理が継続できないため切断しました)	home directory not exist (Closing connection because BJD can't continue the process)
ServerFtp_0003	コマンド処理でエラーが発生しました	An error occurred when processing command

ServerFtp_0014	ユーザ名が無効です	Username is disabled
ServerFtp_0015	パスワードが違います	Incorrect password


###############################################################
# Pop3 Server
###############################################################

OptionPop3_MenuStr	POPサーバ	POP Server

OptionPop3_useServer	POP3サーバを使用する	Use POP Server

#PageTitle
OptionPop3_Basic	基本設定	Basic
OptionPop3_Cange Password	パスワード変更	Change password
OptionPop3_AutoDeny	自動拒否	AutoDeny

#Page1(基本設定)
OptionPop3_bannerMessage	バナーメッセージ	BannerMessage
OptionPop3_authType	認証方式	Authorization
OptionPop3_authType1	USER/PASS認証	Only USER/PASS
OptionPop3_authType2	APOP認証	Only APOP
OptionPop3_authType3	USER/PASS及びAPOP認証	Bath
OptionPop3_authTimeout	認証失敗時のタイムアウト(秒)	Time-out in certification failure(sec)

#Page2(パスワード変更)
OptionPop3_useChps	パスワード変更を許可する	Allow CHPS request
OptionPop3_minimumLength	最低文字数	Minimum password length
OptionPop3_disableJoe	ユーザ名と同一のパスワードを許可しない	Don't allow if password is same as user name

OptionPop3_useNum	数字	Number
OptionPop3_useSmall	英小文字	Small
OptionPop3_useLarge	英大文字	Large
OptionPop3_useSign	記号	Sign
OptionPop3_groupNeed	必ず含まなければならない文字	Required letters that need to be used


#Page3(自動拒否)

OptionPop3_useAutoAcl	自動拒否を使用する	Use automatic deny
OptionPop3_autoAclLabel	「ACL」設定で「指定するアドレスからのアクセスのみを」-「禁止する」にチェックされている必要があります	It is necessary to check "Deny" in "ACL - Only allow access from these address" section.
OptionPop3_autoAclMax	認証失敗数（回）	Authentication failure(count)
OptionPop3_autoAclSec	対象期間(秒)	confirmation period(sec)

#Message

ServerPop3_0001	２重ログインの要求が発生しました	A demand of double login occurred
ServerPop3_0002	ログインしました	Login
ServerPop3_0003	認証に失敗しました	Certification failure
ServerPop3_0004	メールボックスの初期化に失敗しました。サーバは起動できません	Failed in initialization of a mailbox (A server cannot start)
ServerPop3_0005	メールを受信しました [RETR]	Received an email [RETR]



###############################################################
# ProxyFtpServer
###############################################################

OptionProxyFtp_MenuStr	FTP	FTP


OptionProxyFtp_useServer	プロキシサーバ[FTP]を使用する	Use Proxy Server[FTP]
OptionProxyFtp_Basic	基本設定	Basic
OptionProxyFtp_idleTime	アイドルタイム(m)	Idle timeout(sec)

#Message

ServerProxyFtp_0001	認証に失敗しました	Failed in the certification
ServerProxyFtp_0002	アイドルタイムアウト	An idle time out
ServerProxyFtp_0003	送信に失敗しました	Transmission of a message failure
ServerProxyFtp_0004	PORTコマンドの解釈に失敗しました	Interpretation failure of a command(PORT)
ServerProxyFtp_0005	PASVコマンドの解釈に失敗しました(1)	Interpretation failure of a command(PASV)[1]
ServerProxyFtp_0006	PASVコマンドの解釈に失敗しました(2)	Interpretation failure of a command(PASV)[2]
ServerProxyFtp_0007	コマンド受信	The command reception
ServerProxyFtp_0008	「USER ユーザ名@ホスト名」の接続形式しか対応できません。	Only a connection form of [USER username@hostname] can support.


###############################################################
# ProxyHttpServer
###############################################################

OptionProxyHttp_MenuStr	ブラウザ	Browser

OptionProxyHttp_useServer	プロキシサーバ[Browser]を使用する	Use Proxy Server[Browser]

#PageTitle

OptionProxyHttp_Basic	基本設定	Basic
OptionProxyHttp_HigherProxy	上位プロキシ	Higher Proxy
OptionProxyHttp_Cache1	キャッシュ(1)	Cache(1)
OptionProxyHttp_Cache2	キャッシュ(2)	Cache(2)
OptionProxyHttp_LimitUrl	ＵＲＬ制限	URL Restriction
OptionProxyHttp_LimitContents	コンテンツ制限	Contents Restriction

# Page1(基本設定)

OptionProxyHttp_useRequestLog	リクエストログを通常ログで出力する	Display request in normal log
OptionProxyHttp_anonymousAddress	メールアドレス	Mail address
OptionProxyHttp_serverHeader	Server:ヘッダの指定	Set Server: header
OptionProxyHttp_anonymousFtp	anonymousFTP(ftp://～）に接続に関する指定	anonymousFTP(ftp://~) setting
OptionProxyHttp_useBrowserHedaer	リクエストヘッダをブラウザと同じにする	Use browser's request header and don't modify it
OptionProxyHttp_groupAddHeader	追加するヘッダ	Headers to append

# Page2(上位プロキシ)

OptionProxyHttp_useUpperProxy	更に上位のプロキシを経由する	Forward to higher proxy
OptionProxyHttp_upperProxyServer	サーバ	Server
OptionProxyHttp_upperProxyPort	ポート	Port
OptionProxyHttp_upperProxyUseAuth	認証を使用する	Use Authorization
OptionProxyHttp_upperProxyAuthName	ユーザ名	User
OptionProxyHttp_upperProxyAuthPass	パスワード	Pass

OptionProxyHttp_address	アドレス	Address
OptionProxyHttp_disableAddress	次で始まるアドレスには上位プロキシを使用しない	Don't use higher proxy if the address starts with:


# Page3(キャッシュ(1))

OptionProxyHttp_useCache	キャッシュを使用する	Use Cache
OptionProxyHttp_cacheDir	キャッシュ保存ディレクトリ	Cache save directory
OptionProxyHttp_testTime	検査時間間隔(h)	Inspection time interval(h)
OptionProxyHttp_memorySize	サイズ（メモリ）(KByte)	Size[Memory](KByte)
OptionProxyHttp_diskSize	サイズ（ディスク）(KByte)	Size[Disk](KByte)
OptionProxyHttp_expires	デフォルト有効期限(h)	Default expiration
OptionProxyHttp_maxSize	最大サイズ(KByte)	Max size(KByte)


# Page4(キャッシュ(2))

OptionProxyHttp_enableHost	下記で指定したホストのみを	Only hosts which I selected below
OptionProxyHttp_enableHost1	キャッシュする	Use cache
OptionProxyHttp_enableHost2	キャッシュしない	Don't use cache
OptionProxyHttp_host	ホスト名	Host
OptionProxyHttp_cacheHost	ホスト指定	Host
OptionProxyHttp_enableExt	下記で指定した拡張子のみを	Only file extensions I selected below
OptionProxyHttp_enableExt1	キャッシュする	Use cache
OptionProxyHttp_enableExt2	キャッシュしない	Don't use cache
OptionProxyHttp_ext	拡張子	Extension
OptionProxyHttp_cacheExt	拡張子指定	Set extension


# Page5(ＵＲＬ制限)

OptionProxyHttp_allowMatching	マッチング方法	Matching method
OptionProxyHttp_allowMatching1	前方一致	begins-with match
OptionProxyHttp_allowMatching2	後方一致	ends-with match
OptionProxyHttp_allowMatching3	部分一致	partial match
OptionProxyHttp_allowMatching4	正規表現	regular expression
OptionProxyHttp_limitUrlAllow	許可するURL	Allow these URL

OptionProxyHttp_denyMatching	マッチング方法	A matching method
OptionProxyHttp_denyMatching1	前方一致	Front agreement
OptionProxyHttp_denyMatching2	後方一致	Rear agreement
OptionProxyHttp_denyMatching3	部分一致	Part agreement
OptionProxyHttp_denyMatching4	正規表現	Regular expression
OptionProxyHttp_limitUrlDeny	制限するURL	Deny these URL

# Page6(コンテンツ制限)

OptionProxyHttp_string	文字列	String
OptionProxyHttp_limitString	次の文字列を含むアクセスを制限する	Deny access if the content contains these strings

#Message

ServerProxyHttp_0000	リクエスト	Request
ServerProxyHttp_0001	サポート外のメソッドです（処理を継続できません）	It is a method out of a support (Cannot continue processing)
ServerProxyHttp_0002	サポート外のバージョンです（処理を継続できません）	It is a version out of a support(Cannot continue processing)
ServerProxyHttp_0003	タイムアウト	Timeout
ServerProxyHttp_0004	キャッシュ（メモリ）へ保存しました	Saved it to cash (MEMORY)
ServerProxyHttp_0005	キャッシュ（ディスク）へ保存しました	Saved it to cash (DISK)
ServerProxyHttp_0006	レスポンス受信に失敗しました	Failed in the reception of a response
ServerProxyHttp_0007	ヘッダ受信に失敗しました	Failed in the reception of a header
ServerProxyHttp_0008	BREAK	BREAK
ServerProxyHttp_0009	送信に失敗しました	Transmission of a message failure
ServerProxyHttp_0010	URL制限にヒットしました	An URL limit
ServerProxyHttp_0011	名前解決に失敗しました。サーバへ接続できません	Name solution failure(Cannot be connected to a server
ServerProxyHttp_0012	キャッシュ対象ではありません（ホスト）	It is not a cash object (Host)
ServerProxyHttp_0013	キャッシュ対象ではありません（拡張子）	It is not a cash object (Extension)
ServerProxyHttp_0014	キャッシュにヒットしました	Hit in cache
ServerProxyHttp_0015	「キャッシュ保存ディレクトリ」の指定が無効です。ディスクキャッシュは機能できません	Appointment of \"save directory\" is null and void(A disk cache cannot function)
ServerProxyHttp_0016	「no cache」のためキャッシュしません	Don't do cash for \"no cache\"
ServerProxyHttp_0017	キャッシュに保存しました	saved it in cache
ServerProxyHttp_0018	キャッシュへの保存をキャンセルしました	I did not save it in cache
ServerProxyHttp_0019	キャッシュ（メモリ）へ移動しました	I moved to cache (memory)
ServerProxyHttp_0020	最大サイズを超えているのでキャッシュへの保存をキャンセルします	Because I exceed maximum size, I cancel a save to cache
ServerProxyHttp_0021	コンテンツ制限にヒットしました（接続は中断されました）	I made a hit in contents limit (the connection was stopped)
ServerProxyHttp_0022	POSTリクエストの処理に失敗しました	Failed in processing of a POST request
ServerProxyHttp_0023	ディスクキャッシュの最適化を開始します	Start optimization of a disk cache
ServerProxyHttp_0024	ディスクキャッシュの最適化を終了します	Stop optimization of a disk cache
ServerProxyHttp_0025	古いキャッシュを削除します	Remove old cash
ServerProxyHttp_0026	接続に失敗しました	Failed in connection
ServerProxyHttp_0027	ディスクキャッシュの最適化でエラーが発生しました	An error occurred by optimization of disk cache
ServerProxyHttp_0028	URL制限で解釈できない正規表現が設定されました	The regular expression that I cannot interpret by an URL limit was set
ServerProxyHttp_0029	設計エラー　Request.Recv()	Request.Recv()

###############################################################
#  ProxyPop3Server
###############################################################

OptionProxyPop3_MenuStr	POP3	POP3

OptionProxyPop3_useServer	POP3プロキシを使用する	Use POP3 Proxy

#PageTitle

OptionProxyPop3_Basic	基本設定	Basic
OptionProxyPop3_Expansion	拡張設定	Advanced Settings

#Page1

OptionProxyPop3_targetPort	接続先ポート	Destination Port
OptionProxyPop3_targetServer	接続先サーバ	Destination Server
OptionProxyPop3_idleTime	アイドルタイム(m)	Idle time(m)

#Page2

OptionProxyPop3_specialUser	ユーザ名（メールクライアントで設定したもの）	UserName (which I set in my email client)
OptionProxyPop3_specialServer	接続先サーバ	Destination Server
OptionProxyPop3_specialPort	接続先ポート	Destination Port
OptionProxyPop3_specialName	ユーザ名（プロパイダで指定されたもの）	UserName (which was given by the provider)
OptionProxyPop3_specialUserList	特別なユーザの指定	Special user


###############################################################
# ProxySmtpServer
###############################################################

OptionProxySmtp_MenuStr	SMTP	SMTP

OptionProxySmtp_useServer	SMTPプロキシを使用する	Use SMTP Proxy

#PageTitle
OptionProxySmtp_Basic	基本設定	Basic
OptionProxySmtp_Expansion	拡張設定	Advanced Settings


#Page1


OptionProxySmtp_targetPort	接続先ポート	Port
OptionProxySmtp_targetServer	接続先サーバ	Server
OptionProxySmtp_idleTime	アイドルタイム(m)	Idle time(m)

#Page2

OptionProxySmtp_mail	メールアドレス（メールクライアントで設定したもの）	Email address(which I set in my email client)
OptionProxySmtp_server	接続先サーバ	Destination Server
OptionProxySmtp_dstPort	接続先ポート	Destination Port
OptionProxySmtp_address	メールアドレス（プロパイダで指定されたもの）	Email address(which was given by the provider)
OptionProxySmtp_specialUser	特別なユーザの指定	Special user


###############################################################
# ProxyTelnetServer
###############################################################

OptionProxyTelnet_MenuStr	Telnet	Telnet

OptionProxyTelnet_useServer	プロキシサーバ[Telnet]を使用する	Use Proxy Server[Telnet]

#PageTitle
OptionProxyTelnet_Basic	基本設定	Basic

#Page1
OptionProxyTelnet_idleTime	アイドルタイム(m)	Idle Timeout(sec)

#Message

ServerProxyTelnet_0001	接続しました	Connected
ServerProxyTelnet_0002	接続に失敗しました(1)	Failed in connection(1)
ServerProxyTelnet_0003	接続に失敗しました(2)	Failed in connection(1)


###############################################################
# RemoteServer
###############################################################

OptionRemote_MenuStr	リモート制御	Remote Server

OptionRemote_useServer	リモート制御を使用する	Use Remote Control

#PageTitle
OptionRemote_Basic	基本設定	Basic

#Page1
OptionRemote_password	パスワード	Password

#Message

ServerRemote_0001	リモートクライアントから接続されました	Connected by a RemoteClient
ServerRemote_0002	リモートクライアントからの接続が解除されました	Disconnected by a RemoteClient
ServerRemote_0003	リモートサーバスレッドが初期化されていません	A RemoteServerThread is not initialized
ServerRemote_0004	パスワードが違います	Password incorrect
ServerRemote_0005	認証パスワードは設定されていません	No password


###############################################################
# SampleServer
###############################################################

OptionSample_MenuStr	SAMPLEサーバ	Sample Server


OptionSample_useServer	SAMPLEサーバを使用する	Use Sample Server

#PageTitle
OptionSample_Basic	基本設定	Basic

#Page1
OptionSample_sampleText	サンプルメッセージ	SampleMessage


#Message

ServerSample_0001	日本語	English


###############################################################
# SipServer
###############################################################

OptionSip_MenuStr	SIPサーバ	Sip Server

OptionSip_useServer	SIPサーバを使用する	Use Sip Server

#PageTitle
OptionSip_Basic	基本設定	Basic

#Page1
OptionSip_sampleText	サンプルメッセージ	SampleMessage

#Message

ServerSip_0001	日本語	English


###############################################################
# SmtpServer
###############################################################

OptionSmtp_MenuStr	SMTPサーバ	SMTP Server

OptionSmtp_useServer	SMTPサーバを使用する	Use Smtp Server

#PageTitle
OptionSmtp_Basic	基本設定	Basic
OptionSmtp_ESMTP	拡張SMTP(ESMTP)	ESMTP
OptionSmtp_Relay	中継許可	Allow Relay
OptionSmtp_Queue	キュー処理	Queue
OptionSmtp_Host	ホスト設定	Host setting
OptionSmtp_Heda	ヘッダ変換	Change Header
OptionSmtp_Aliases	エイリアス	Alias
OptionSmtp_AutoReception	自動受信	Automatic receive

#Page1(基本設定)

OptionSmtp_domainName	ドメイン名（,で区切って複数指定できます）	Domain name
OptionSmtp_bannerMessage	バナーメッセージ	Banner Message
OptionSmtp_receivedHeader	Receivedヘッダ	Received Header
OptionSmtp_sizeLimit	受信サイズ制限(KByte)  [0=制限無し]	Capacity size of the email (KByte) [set 0 to unlimited]
OptionSmtp_errorFrom	エラー時のFromアドレス	"From Address" for sending error message
OptionSmtp_useNullFrom	空白のFROMを許可する	Accept empty FROM
OptionSmtp_useNullDomain	ドメイン名の無いFROMを許可する	Accept from which doesn't have domain name
OptionSmtp_usePopBeforeSmtp	POP before SMTPを使用する	Enable POP before SMTP
OptionSmtp_timePopBeforeSmtp	POP before SNTP の有効時間（秒)	Time-out of POP Before SMTP
OptionSmtp_useCheckFrom	メールアドレス（From:）偽造を許可しない	Don't allow forgery of "From:" header


#Page2(拡張SMTP(ESMTP))

OptionSmtp_useEsmtp	拡張SMTPを使用する	Use ESMTP
OptionSmtp_groupAuthKind	使用する認証方式	Authentication method to use
OptionSmtp_usePopAcount	ユーザ情報はメールボックスの利用者情報を使用する	Use MailBox Account for user information
OptionSmtp_user	アカウント	User
OptionSmtp_pass	パスワード	Password
OptionSmtp_comment	コメント	Comment
OptionSmtp_esmtpUserList	ユーザ情報	User List
OptionSmtp_enableEsmtp	指定したアドレスからのアクセスのみ	Access only from these address
OptionSmtp_enableEsmtp1	適用しない	Don't apply
OptionSmtp_enableEsmtp2	適用する	Apply
OptionSmtp_rangeName	名前（表示名）	Name(Display Name)
OptionSmtp_rangeAddress	アドレス	Address

#Page3(中継許可)

OptionSmtp_order	リストの優先順位	Order
OptionSmtp_order1	許可リスト優先	Allow first, Deny second
OptionSmtp_order2	禁止リスト優先	Deny first, Allow second

OptionSmtp_allowAddress	アドレス	Address
OptionSmtp_allowList	許可リスト	Allow list
OptionSmtp_denyAddress	アドレス	Address
OptionSmtp_denyList	禁止リスト	Deny list


#Page4(キュー処理)

OptionSmtp_always	キュー常時処理（このチェックを外すとキューは処理されません）	Use Queue processing(If set to un-check, the queue will not process automatically.)
OptionSmtp_threadSpan	最小処理間隔(秒)	Thread minimum interval(s)
OptionSmtp_retryMax	リトライ回数	Retry count
OptionSmtp_threadMax	処理スレッド数	Thread count
OptionSmtp_mxOnly	MXレコードのみを使用する	Use only MX record


#Page5(ホスト設定)

OptionSmtp_transferTarget	対象ドメイン	Target Domain
OptionSmtp_transferServer	転送サーバ	Transfer Server
OptionSmtp_transferPort	ポート	Transfer Port
OptionSmtp_transferSmtpAuth	SMTP認証	SMTP Auth
OptionSmtp_transferUser	ユーザ名	User
OptionSmtp_transferPass	パスワード	Pass
OptionSmtp_transferSsl	SSLで接続する	Use SSL to connect

#Page6(ヘッダ変換)


OptionSmtp_pattern	パターン文字列	Pattern
OptionSmtp_Substitution	置き換え文字列	Substitution
OptionSmtp_patternList	置き換え	Substitution
OptionSmtp_tag	タグ	Tag
OptionSmtp_string	文字列	String
OptionSmtp_appendList	追加	Append

#Page7(エリアス)

OptionSmtp_aliasUser	ユーザ名	user
OptionSmtp_aliasName	別名	alias
OptionSmtp_aliasList	エリアス指定 ( 別名はカンマで区切って複数指定できます )	Alias List (You can set another name by split them using ",".)

#Page8(自動受信)

OptionSmtp_fetchReceptionInterval	受信間隔(分)	Receive interval(min)
OptionSmtp_fetchServer	サーバ	Server
OptionSmtp_fetchPort	ポート"	Port
OptionSmtp_fetchUser	ユーザ	User
OptionSmtp_fetchPass	パスワード	Password
OptionSmtp_fetchLocalUser	配信先(ローカルユーザ)	Destination (Local user)
OptionSmtp_fetchSynchronize	同期	Synchronize
OptionSmtp_fetchSynchronize1	サーバに残す	Keep email on server
OptionSmtp_fetchSynchronize2	メールボックスと同期する	Synchronize with a mailbox
OptionSmtp_fetchSynchronize3	サーバから削除する	Delete email from server
OptionSmtp_fetchTime	サーバに残す時間(分)	Time to keep it on server (min)


#Message

ServerSmtp_0000	MESSAE	MESSAE
ServerSmtp_0001	接続しました	Connected
ServerSmtp_0002	ディレクトリ指定（メールボックス）に問題があります。（サーバは機能しません）	Directory appointment (a mailbox) includes a problem(Server start failure)
ServerSmtp_0003	ドメイン名が指定されていません（サーバは機能しません）	A domain name is not appointed(Server start failure)
ServerSmtp_0004	メールボックスの初期化に失敗しました(サーバは起動できません)	failed in initialization of a mailbox(Server start failure)
ServerSmtp_0005	POP bfore SMTPによるリレー中継を許可しました	admitted relay broadcast by POP before SMTP
ServerSmtp_0006	ユーザが存在しません	There is not a user
ServerSmtp_0007	受信サイズの制限を越えました	Exceeded a limit of reception size
ServerSmtp_0008	メールボックスへ格納しました	Housed it to a mailbox
ServerSmtp_0009	メールキューへ格納しました	Housed it to a mailqueue
ServerSmtp_0010	キュー処理(開始)	Queue processing (start)
ServerSmtp_0011	キュー処理(成功)	Queue processing (success)
ServerSmtp_0012	キュー処理(失敗) サーバ（アドレス）検索失敗	Queue processing (Server search failure)
ServerSmtp_0013	キュー処理(失敗) 原因不明	Queue processing (faild) A cause is unknown
ServerSmtp_0014	キュー処理(失敗) エラーコードを受信しました	Queue processing (faild) Received an error cord
ServerSmtp_0015	エラーメールを作成しました	Made an error email
ServerSmtp_0016	ヘッダを置き換えました	Moved a header
ServerSmtp_0017	ヘッダを追加しました	Added a header

ServerSmtp_0019	エリアス指定が無効です（ユーザが存在しません）	Elias appointment is invalidity (there is not a user)
ServerSmtp_0020	「基本オプション」－「サーバ名」が指定されていません(サーバによっては、送信に失敗する可能性があります)	Option [Basic Option]-[Saerver Name]  is not appointed(With a server, I may fail in the transmission of a message)
ServerSmtp_0021	ファイルにメールが追加されました	An email was added to a file
ServerSmtp_0022	ファイルへのメール追加に失敗しました	I failed in email addition to a file
ServerSmtp_0023	自動受信	The automatic reception

ServerSmtp_0025	中継許可の指定に問題があります	Relay configuration failure
ServerSmtp_0026	この接続には拡張SMTPが適用されません	ESMP is not applied in this connection
ServerSmtp_0027	エリアス変換	Alias
ServerSmtp_0028	メールアドレスがローカルドメインではありません（From偽造を許可しない）	There is not an email address in a local domain (From: Check)
ServerSmtp_0029	メールアドレスがローカルユーザではありません（From偽造を許可しない）	There is not an email address in a local user (From: Check)
ServerSmtp_0030	１ユーザのエリアスを複数行で指定することはできません。別名はカンマで区切って複数指定できます。	Can't appoint plural Elias of a 1 user in a line, and another name divides it in a comma and can appoint a plural number.
ServerSmtp_0031	「管理領域（フォルダ）」の指定が無効です。MLは機能できません	Appointment of \"management directory\" is null and void(A ML cannot function)
ServerSmtp_0032	(ML)メールの保存に失敗しました	(ML)Failed in a save of an email
ServerSmtp_0033	投稿を受け付けました	Accepted a contribution
ServerSmtp_0034	メンバー以外からの投稿です	It is a contribution from not member

